Designator,Value,Quantity,Description,Link
U1,ATmega328P-P,1,Microcontroller (DIP-28),https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328P-PU/1914589
MQ-2,MQ-2,1,Gas Sensor Module,https://www.digikey.com/en/products/detail/olimex-ltd/SNS-MQ2/21662532
J2,Conn_01x08,1,USB Type C Breakout Board - Downstream Connection,https://www.adafruit.com/product/4090
R1-R3,220R,3,Resistor for LEDs (Through-hole),https://www.adafruit.com/product/2780
R4,10R,1,Pull-up Resistor (Through-hole),https://www.adafruit.com/product/2784
"C1,C2,C5,C6",100nF,4,Ceramic Capacitor,https://www.adafruit.com/product/753
"C3,C4",22pF,2,Ceramic Capacitor for Crystal,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K220J15C0GF53L2/2821623
Y1,16MHz,1,HC-49 Crystal,https://www.adafruit.com/product/2215
"D1,D2,D3","LED_G,LED_Y,LED_R",1,"G,Y,R LED",https://www.adafruit.com/product/4203
BZ1,Buzzer,1,12x9.5mm Active Buzzer (RM.7.5),https://www.amazon.com/dp/B0F1KCZGZG/ref=twister_B0FP83KQTB?_encoding=UTF8&th=1
J1,ISP,1,ISP programming interface,https://www.adafruit.com/product/2822
none,none,1,MQ-2 sensor female header,https://www.digikey.com/en/products/detail/samtec-inc/ESQT-104-03-M-S-310/5270322
none,none,1,USBasp with 10-pin to 6-pin adapter,https://www.amazon.com/Geekstory-Microcontroller-Programmer-Downloader-Adapter/dp/B07NZ59VK2/
